,序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,IPAQ_1,IPAQ_2,IPAQ_3,IPAQ_4,IPAQ_5,IPAQ_6,IPAQ_7,运动项目,剧烈运动天数,剧烈运动单日分钟数,适度运动天数,适度运动单日分钟数,步行天数,步行单日分钟数,工作日久坐分钟数,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动一周分钟数,适度运动一周分钟数,步行一周分钟数,剧烈运动MET,适度运动MET,步行MET,总MET,身体活动水平,类别
0,3,19,大二,电气工程及其自动化,0,0,3,2,2,4,2,2,1,2,2,3,2,3,4,2,1,2,1,3,2,2,3,3,2,3,2,2,3,2,3,2,3,3,5,3,3,2,3,3,4,2,2,4,3,2,3,3,2,2,3,3,2,1,4,2,3,2,3,2,1,2,2,2,1,1,1,2,-2,2,-2,1,1,1,躺着,0.0,0.0,0.0,0.0,7.0,90.0,240.0,2.17,2.7,2.82,2.44,2.4,3.0,2.58,0.0,0.0,630.0,0.0,0.0,2079.0,2079.0,2,3
1,6,19,20,自动化专业,0,0,2,2,3,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,1,2,2,4,2,1,2,1,3,3,3,1,1,1,1,1,2,2,3,1,2,3,2,3,1,2,3,1,2,2,2,3,2,1,2,1,3,2,1,1,1,1,1,1,1,篮球,5.0,39.0,7.0,30.0,7.0,60.0,500.0,3.17,3.1,3.09,3.0,2.8,3.3,3.08,195.0,210.0,420.0,1560.0,840.0,1386.0,3786.0,3,2
2,8,19,20级,金融学,1,1,3,3,2,3,2,3,1,1,2,2,1,2,1,1,3,3,2,1,2,2,2,2,1,3,2,2,2,1,3,1,2,3,2,2,2,1,4,2,2,1,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,1,2,2,1,2,2,2,2,3,3,1,1,1,1,1,1,2,跑步,1.0,50.0,2.0,30.0,7.0,15.0,,2.83,3.3,3.27,2.67,2.8,3.0,2.98,50.0,60.0,105.0,400.0,240.0,346.5,986.5,2,2
3,9,20,大二,工业设计,1,1,3,3,1,3,2,2,1,4,1,1,1,3,1,1,1,1,1,1,3,3,3,4,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,3,1,1,1,1,3,2,1,1,1,1,3,3,4,1,2,1,1,3,3,1,1,1,1,1,1,1,2,-2,1,1,1,1,1,跑步，骑车，爬楼梯,0.0,0.0,7.0,20.0,7.0,50.0,300.0,3.75,3.3,3.45,2.56,3.7,3.3,3.37,0.0,140.0,350.0,0.0,560.0,1155.0,1715.0,2,3
4,10,19,2020,软件工程,1,1,2,3,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,跳绳,3.0,10.0,7.0,40.0,7.0,40.0,600.0,3.75,3.6,3.73,3.33,3.9,4.0,3.73,30.0,280.0,280.0,240.0,1120.0,924.0,2284.0,3,3
5,17,19,2020,药学,1,0,2,2,1,3,2,3,2,1,4,3,2,2,3,1,1,2,2,3,2,3,2,3,1,2,2,1,3,3,3,2,3,3,3,3,2,3,2,3,3,2,1,2,3,4,3,1,3,3,3,3,3,2,3,2,2,1,3,2,1,2,3,2,3,3,2,2,-2,1,1,1,1,2,爬楼,0.0,0.0,7.0,30.0,7.0,40.0,,2.42,2.5,2.64,2.78,2.8,2.6,2.61,0.0,210.0,280.0,0.0,840.0,924.0,1764.0,2,3
6,19,19,2020,机械,0,1,2,2,3,4,2,2,1,1,2,2,2,2,1,2,3,2,3,3,3,3,2,2,1,2,3,2,3,2,3,2,2,3,1,3,2,3,1,2,2,2,1,3,3,4,2,3,2,2,2,4,3,2,2,2,2,1,3,2,3,3,3,2,3,3,1,1,1,1,1,1,1,1,跑步，篮球,4.0,40.0,7.0,20.0,7.0,10.0,240.0,2.67,2.9,2.55,2.67,2.9,2.6,2.71,160.0,140.0,70.0,1280.0,560.0,231.0,2071.0,3,2
7,21,19,2020,英语,1,1,2,2,1,5,2,3,2,3,3,2,3,3,3,2,3,2,2,2,3,3,2,3,2,3,3,3,3,3,2,2,3,4,3,2,2,3,4,3,3,3,2,2,3,2,2,3,2,2,3,3,3,3,2,2,2,3,3,3,4,3,4,3,2,3,4,2,-2,2,-2,1,1,1,跑步,0.0,0.0,0.0,0.0,5.0,10.0,,2.25,2.3,2.18,2.44,2.0,2.4,2.26,0.0,0.0,50.0,0.0,0.0,165.0,165.0,1,3
8,32,18,大一,电气与信息类,0,1,2,2,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,2,-2,2,-2,1,1,1,跑步,0.0,0.0,0.0,0.0,7.0,30.0,300.0,1.83,2.0,2.18,2.0,1.4,2.0,1.9,0.0,0.0,210.0,0.0,0.0,693.0,693.0,2,3
9,36,18,大一,工能,0,1,2,2,2,3,2,2,2,3,2,2,2,4,2,1,2,1,1,3,2,2,3,1,1,5,5,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,篮球 骑车 跑步,2.0,60.0,2.0,30.0,7.0,30.0,7.0,3.0,2.7,3.09,2.89,2.6,3.0,2.89,120.0,60.0,210.0,960.0,240.0,693.0,1893.0,2,2
